"Rank","Player","Team","Bye","POS","AVG"
"57","Alvin Kamara","NO","11","RB18","57.0"
"58","Joe Mixon","HOU","6","RB19","57.5"
"59","Joe Burrow","CIN","10","QB5","59.0"
"60","Jauan Jennings","SF","14","WR33","61.0"
"61","RJ Harvey","DEN","12","RB20","61.0"
"62","Chris Godwin","TB","9","WR34","62.5"
"63","Rome Odunze","CHI","5","WR35","64.0"
"64","Chris Olave","NO","11","WR36","64.5"
"65","Jordan Addison","MIN","6","WR37","65.0"
"66","James Conner","ARI","8","RB21","65.0"
"67","TreVeyon Henderson","NE","14","RB22","65.5"
"68","Jerry Jeudy","CLE","9","WR38","66.5"
"69","Deebo Samuel Sr.","WAS","12","WR39","69.0"
"70","Jakobi Meyers","LV","8","WR40","70.5"
"71","David Montgomery","DET","8","RB23","71.5"
"72","Ricky Pearsall","SF","14","WR41","72.5"
"73","Sam LaPorta","DET","8","TE4","73.0"
"74","D'Andre Swift","CHI","5","RB24","74.0"
"75","Quinshon Judkins","CLE","9","RB25","75.5"
"76","Kaleb Johnson","PIT","5","RB26","75.5"
"77","Khalil Shakir","BUF","7","WR42","77.0"
"78","Stefon Diggs","NE","14","WR43","78.5"
"79","Matthew Golden","GB","5","WR44","78.5"
"80","Jayden Reed","GB","5","WR45","80.0"
"81","Tony Pollard","TEN","10","RB27","81.5"
"82","Isiah Pacheco","KC","10","RB28","82.5"
"83","Josh Downs","IND","11","WR46","83.0"
"84","Aaron Jones Sr.","MIN","6","RB29","83.0"
"85","Patrick Mahomes II","KC","10","QB6","85.0"
"86","Darnell Mooney","ATL","5","WR47","86.0"
"87","Brian Robinson Jr.","WAS","12","RB30","88.0"
"88","T.J. Hockenson","MIN","6","TE5","88.0"
"89","Baker Mayfield","TB","9","QB7","90.0"
"90","Cooper Kupp","SEA","8","WR48","90.0"
"91","Brandon Aiyuk","SF","14","WR49","90.5"
"92","Michael Pittman Jr.","IND","11","WR50","92.0"
"93","Kyler Murray","ARI","8","QB8","94.5"
"94","Jordan Mason","MIN","6","RB31","94.5"
"95","Emeka Egbuka","TB","9","WR51","95.0"
"96","Justin Fields","NYJ","9","QB9","96.0"
"97","Jaylen Warren","PIT","5","RB32","96.0"
"98","Travis Kelce","KC","10","TE6","96.0"
"99","Jayden Higgins","HOU","6","WR52","98.5"
"100","Bo Nix","DEN","12","QB10","98.5"
"101","Keon Coleman","BUF","7","WR53","101.5"
"102","Brock Purdy","SF","14","QB11","103.0"
"103","Evan Engram","DEN","12","TE7","104.5"
"104","Tre Harris","LAC","12","WR54","104.5"
"105","Cam Skattebo","NYG","14","RB33","107.0"
"106","Travis Etienne Jr.","JAC","8","RB34","107.0"
"107","Mark Andrews","BAL","7","TE8","107.0"
"108","Rashid Shaheed","NO","11","WR55","107.5"
"109","Tyrone Tracy Jr.","NYG","14","RB35","108.0"
"110","Najee Harris","LAC","12","RB36","108.0"
"111","Rashod Bateman","BAL","7","WR56","110.0"
"112","Caleb Williams","CHI","5","QB12","111.0"
"113","Zach Charbonnet","SEA","8","RB37","113.0"
"114","Jonnu Smith","MIA","12","TE9","114.0"
"115","Dak Prescott","DAL","10","QB13","116.0"
"116","Jared Goff","DET","8","QB14","117.0"
"117","Drake Maye","NE","14","QB15","118.0"
"118","Javonte Williams","DAL","10","RB38","119.5"
"119","Luther Burden III","CHI","5","WR57","120.0"
"120","David Njoku","CLE","9","TE10","121.5"
"121","Christian Kirk","HOU","6","WR58","122.0"
"122","Kyle Williams","NE","14","WR59","122.0"
"123","Rhamondre Stevenson","NE","14","RB39","122.0"
"124","J.J. McCarthy","MIN","6","QB16","126.0"
"125","Tyler Warren","IND","11","TE11","126.0"
"126","Marvin Mims Jr.","DEN","12","WR60","126.0"
"127","Justin Herbert","LAC","12","QB17","126.0"
"128","Bhayshul Tuten","JAC","8","RB40","127.5"
"129","Tyjae Spears","TEN","10","RB41","127.5"
"130","Jordan Love","GB","5","QB18","127.5"
"131","J.K. Dobbins","DEN","12","RB42","129.5"
"132","Trevor Lawrence","JAC","8","QB19","133.5"
"133","Marquise Brown","KC","10","WR61","134.0"
"134","Ray Davis","BUF","7","RB43","134.0"
"135","C.J. Stroud","HOU","6","QB20","135.0"
"136","Colston Loveland","CHI","5","TE12","135.5"
"137","Tucker Kraft","GB","5","TE13","135.5"
"138","Jaydon Blue","DAL","10","RB44","137.0"
"139","Trey Benson","ARI","8","RB45","140.0"
"140","Dalton Kincaid","BUF","7","TE14","140.5"
"141","Rachaad White","TB","9","RB46","141.0"
"142","Dallas Goedert","PHI","9","TE15","141.5"
"143","Cedric Tillman","CLE","9","WR62","145.0"
"144","Michael Penix Jr.","ATL","5","QB21","145.5"
"145","Isaac Guerendo","SF","14","RB47","145.5"
"146","Jack Bech","LV","8","WR63","146.0"
"147","Isaiah Likely","BAL","7","TE16","146.0"
"148","Jake Ferguson","DAL","10","TE17","148.5"
"149","Tua Tagovailoa","MIA","12","QB22","149.0"
"150","Quentin Johnston","LAC","12","WR64","149.0"
"151","Austin Ekeler","WAS","12","RB48","150.0"
"152","Bryce Young","CAR","14","QB23","154.0"
"153","Tyler Allgeier","ATL","5","RB49","154.0"
"154","Joshua Palmer","BUF","7","WR65","157.0"
"155","Jalen McMillan","TB","9","WR66","157.0"
"156","Tank Bigsby","JAC","8","RB50","157.0"
"157","Adam Thielen","CAR","14","WR67","157.5"
"158","Romeo Doubs","GB","5","WR68","158.0"
"159","Xavier Legette","CAR","14","WR69","159.0"
"160","Geno Smith","LV","8","QB24","159.5"
"161","Kyle Pitts","ATL","5","TE18","159.5"
"162","Matthew Stafford","LAR","8","QB25","160.0"
"163","Pat Bryant","DEN","12","WR70","161.0"
"164","Roschon Johnson","CHI","5","RB51","161.5"
"165","Cameron Ward","TEN","10","QB26","163.5"
"166","Brenton Strange","JAC","8","TE19","164.5"
"167","Pat Freiermuth","PIT","5","TE20","168.0"
"168","Wan'Dale Robinson","NYG","14","WR71","168.5"
"169","Hunter Henry","NE","14","TE21","168.5"
"170","Braelon Allen","NYJ","9","RB52","168.5"
"171","Jaylen Wright","MIA","12","RB53","169.5"
"172","Zach Ertz","WAS","12","TE22","171.5"
"173","Rico Dowdle","CAR","14","RB54","172.0"
"174","DeMario Douglas","NE","14","WR72","175.5"
"175","Sam Darnold","SEA","8","QB27","176.0"
"176","Mike Gesicki","CIN","10","TE23","176.5"
"177","Alec Pierce","IND","11","WR73","176.5"
"178","Will Shipley","PHI","9","RB55","178.0"
"179","Jaylin Noel","HOU","6","WR74","180.0"
"180","Nick Chubb","HOU","6","RB56","180.5"
"181","Aaron Rodgers","PIT","5","QB28","181.0"
"182","Justice Hill","BAL","7","RB57","184.0"
"183","Cade Otton","TB","9","TE24","184.5"
"184","Keenan Allen","","","WR75","185.0"
"185","Michael Wilson","ARI","8","WR76","185.5"
"186","Dyami Brown","JAC","8","WR77","185.5"
"187","Mason Taylor","NYJ","9","TE25","185.5"
"188","DeAndre Hopkins","BAL","7","WR78","187.0"
"189","Miles Sanders","DAL","10","RB58","187.0"
"190","Daniel Jones","IND","11","QB29","190.5"
"191","DJ Giddens","IND","11","RB59","191.5"
"192","Jarquez Hunter","LAR","8","RB60","192.0"
"193","Chig Okonkwo","TEN","10","TE26","192.5"
"194","Calvin Austin III","PIT","5","WR79","193.5"
"195","Darius Slayton","NYG","14","WR80","194.0"
"196","MarShawn Lloyd","GB","5","RB61","195.0"
"197","Dalton Schultz","HOU","6","TE27","197.0"
"198","Dont'e Thornton Jr.","LV","8","WR81","198.0"
"199","Andrei Iosivas","CIN","10","WR82","199.0"
"200","Juwan Johnson","NO","11","TE28","201.5"
"201","Dylan Sampson","CLE","9","RB62","202.0"
"202","Anthony Richardson Sr.","IND","11","QB30","202.5"
"203","Jalen Coker","CAR","14","WR83","203.0"
"204","Tyler Shough","NO","11","QB31","206.5"
"205","Brashard Smith","KC","10","RB63","206.5"
"206","Tutu Atwell","LAR","8","WR84","207.5"
"207","Jerome Ford","CLE","9","RB64","208.0"
"208","Ja'Tavion Sanders","CAR","14","TE29","208.5"
"209","Keaton Mitchell","BAL","7","RB65","208.5"
"210","Blake Corum","LAR","8","RB66","210.0"
"211","Kareem Hunt","KC","10","RB67","210.5"
"212","Tyler Lockett","TEN","10","WR85","212.0"
"213","Theo Johnson","NYG","14","TE30","212.5"
"214","Dontayvion Wicks","GB","5","WR86","213.5"
"215","Russell Wilson","NYG","14","QB32","214.5"
"216","Adonai Mitchell","IND","11","WR87","217.0"
"217","Jaxson Dart","NYG","14","QB33","217.0"
"218","Elic Ayomanor","TEN","10","WR88","218.5"
"219","Raheem Mostert","LV","8","RB68","219.5"
"220","Ray-Ray McCloud III","ATL","5","WR89","220.0"
"221","Roman Wilson","PIT","5","WR90","221.5"
"222","Amari Cooper","","","WR91","222.5"
"223","Tahj Brooks","CIN","10","RB69","222.5"
"224","Terrance Ferguson","LAR","8","TE31","223.5"
"225","Elijah Arroyo","SEA","8","TE32","226.5"
"226","Elijah Moore","BUF","7","WR92","229.0"
"227","Kyle Monangai","CHI","5","RB70","229.5"
"228","Diontae Johnson","CLE","9","WR93","231.0"
"229","Jalen Tolbert","DAL","10","WR94","232.0"
"230","Isaac TeSlaa","DET","8","WR95","232.5"
"231","Tyler Conklin","LAC","12","TE33","232.5"
"232","Devin Neal","NO","11","RB71","233.5"
"233","Tyler Higbee","LAR","8","TE34","235.0"
"234","Jalen Royals","KC","10","WR96","235.5"
"235","Shedeur Sanders","CLE","9","QB34","235.5"
"236","Noah Gray","KC","10","TE35","236.0"
"237","Taysom Hill","NO","11","TE36","239.0"
"238","Jacory Croskey-Merritt","WAS","12","RB72","239.5"
"239","Sean Tucker","TB","9","RB73","242.5"
"240","Joe Flacco","CLE","9","QB35","246.0"
"241","Jalen Milroe","SEA","8","QB36","247.5"
"242","Ben Sinnott","WAS","12","TE37","248.0"
"243","Cole Kmet","CHI","5","TE38","248.0"
"244","Devaughn Vele","DEN","12","WR97","248.5"
"245","Troy Franklin","DEN","12","WR98","251.0"
"246","Jordan James","SF","14","RB74","251.0"
"247","Malik Washington","MIA","12","WR99","251.5"
"248","Ty Johnson","BUF","7","RB75","252.0"
"249","Marquez Valdes-Scantling","SEA","8","WR100","252.5"
"250","Demarcus Robinson","SF","14","WR101","254.5"
"251","Josh Reynolds","NYJ","9","WR102","254.5"
"252","Mike Williams","LAC","12","WR103","254.5"
"253","Kayshon Boutte","NE","14","WR104","255.0"
"254","Zack Moss","CIN","10","RB76","255.5"
"255","Harold Fannin Jr.","CLE","9","TE39","256.5"
"256","Elijah Mitchell","KC","10","RB77","256.5"
"257","Kendre Miller","NO","11","RB78","257.5"
"258","Tre Tucker","LV","8","WR105","258.0"
"259","Oronde Gadsden II","LAC","12","TE40","258.5"
"260","Curtis Samuel","BUF","7","WR106","259.0"
"261","Jordan Whittington","LAR","8","WR107","260.0"
"262","Jermaine Burton","CIN","10","WR108","260.5"
"263","Jalen Nailor","MIN","6","WR109","261.5"
"264","Nick Westbrook-Ikhine","MIA","12","WR110","261.5"
"265","Woody Marks","HOU","6","RB79","262.5"
"266","Savion Williams","GB","5","WR111","263.0"
"267","Allen Lazard","NYJ","9","WR112","264.0"
"268","Michael Mayer","LV","8","TE41","269.0"
"269","Ollie Gordon II","MIA","12","RB80","265.0"
"270","Audric Estime","DEN","12","RB81","270.0"
"271","Noah Brown","WAS","12","WR113","268.0"
"272","Parker Washington","JAC","8","WR114","270.0"
"273","Isaiah Davis","NYJ","9","RB82","270.5"
"274","Mack Hollins","NE","14","WR115","280.0"
"275","Xavier Restrepo","TEN","10","WR116","272.5"
"276","Tory Horton","SEA","8","WR117","274.0"
"277","Tai Felton","MIN","6","WR118","274.0"
"278","Jaylin Lane","WAS","12","WR119","274.0"
"279","KaVontae Turpin","DAL","10","WR120","275.0"
"280","Emanuel Wilson","GB","5","RB83","276.5"
"281","Kirk Cousins","ATL","5","QB37","279.5"
"282","Noah Fant","SEA","8","TE42","277.0"
"283","Jaleel McLaughlin","DEN","12","RB84","267.0"
"284","Jimmy Horn Jr.","CAR","14","WR121","271.0"
"285","Trevor Etienne","CAR","14","RB85","280.0"
"286","Jahan Dotson","PHI","9","WR122","275.0"
"287","Brandin Cooks","NO","11","WR123","282.0"
"288","Will Dissly","LAC","12","TE43","283.0"
"289","Christian Watson","GB","5","WR124","279.0"
"290","A.J. Dillon","PHI","9","RB86","283.0"
"291","Devontez Walker","BAL","7","WR125","296.0"
"292","Arian Smith","NYJ","9","WR126","285.0"
"293","JuJu Smith-Schuster","KC","10","WR127","286.0"
"294","Cam Akers","NO","11","RB87","294.0"
"295","Jalin Hyatt","NYG","14","WR128","288.0"
"296","LaJohntay Wester","BAL","7","WR129","289.0"
"297","Luke McCaffrey","WAS","12","WR130","291.0"
"298","Efton Chism III","NE","14","WR131","292.0"
"299","Chimere Dike","TEN","10","WR132","293.0"
"300","Tim Patrick","DET","8","WR133","296.0"
"301","Tank Dell","HOU","6","WR134","298.0"
"302","Damien Martinez","SEA","8","RB88","299.0"
"303","Dawson Knox","BUF","7","TE44","300.0"
"304","Joe Milton III","DAL","10","QB38","302.0"
"305","Luke Musgrave","GB","5","TE45","303.0"
"306","Jacob Cowing","SF","14","WR135","304.0"
"307","Greg Dortch","ARI","8","WR136","305.0"
"308","Jameis Winston","NYG","14","QB39","307.0"
"309","Malachi Corley","NYJ","9","WR137","309.0"
"310","Khalil Herbert","IND","11","RB89","310.0"
"311","Tez Johnson","TB","9","WR138","311.0"
"312","Hunter Renfrow","CAR","14","WR139","312.0"
"313","Dillon Gabriel","CLE","9","QB40","313.0"
"314","Treylon Burks","TEN","10","WR140","314.0"
"315","Phil Mafah","DAL","10","RB90","315.0"
"316","Tyquan Thornton","KC","10","WR141","316.0"
"317","Latavius Murray","","","RB91","317.0"
"318","Tommy Mellott","LV","8","QB41","318.0"
"319","Spencer Rattler","NO","11","QB42","319.0"
"320","Samaje Perine","CIN","10","RB92","320.0"
"321","Austin Hooper","NE","14","TE46","321.0"
"322","Alexander Mattison","MIA","12","RB93","322.0"
"323","Cooper Rush","BAL","7","QB43","323.0"
"324","KeAndre Lambert-Smith","LAC","12","WR142","324.0"
"325","Jordan Watkins","SF","14","WR143","325.0"
"326","Kendrick Bourne","NE","14","WR144","326.0"
"327","Olamide Zaccheaus","CHI","5","WR145","327.0"
"328","Darnell Washington","PIT","5","TE47","328.0"
"329","Antonio Gibson","NE","14","RB94","329.0"
"330","Chris Rodriguez Jr.","WAS","12","RB95","330.0"
"331","Kenneth Gainwell","PIT","5","RB96","331.0"
"332","Emari Demercado","ARI","8","RB97","332.0"
"333","Gunnar Helm","TEN","10","TE48","333.0"
"334","Kalif Raymond","DET","8","WR146","334.0"
"335","Kenny McIntosh","SEA","8","RB98","335.0"
"336","Ja'Lynn Polk","NE","14","WR147","336.0"
"337","Kyle Juszczyk","SF","14","RB99","337.0"
"338","Mitchell Evans","CAR","14","TE49","338.0"
"339","Josh Oliver","MIN","6","TE50","339.0"
"340","Grant Calcaterra","PHI","9","TE51","340.0"
"341","Nick Mullens","JAC","8","QB44","341.0"
"342","Jake Browning","CIN","10","QB45","342.0"
"343","Zach Wilson","MIA","12","QB46","343.0"
"344","Michael Gallup","WAS","12","WR148","344.0"
"345","Gabe Davis","","","WR149","345.0"
"346","Jonathon Brooks","CAR","14","RB100","346.0"
"347","Dameon Pierce","HOU","6","RB101","347.0"
"348","Devin Singletary","NYG","14","RB102","348.0"
"349","Foster Moreau","NO","11","TE52","349.0"
"350","Jeremy Ruckert","NYJ","9","TE53","350.0"
"351","Luke Schoonmaker","DAL","10","TE54","351.0"
"352","Kalel Mullings","TEN","10","RB103","352.0"
"353","Cade Stover","HOU","6","TE55","353.0"
"354","Tommy Tremble","CAR","14","TE56","354.0"
"355","Cordarrelle Patterson","PIT","5","RB104","355.0"
"356","AJ Barner","SEA","8","TE57","356.0"
"357","Bub Means","NO","11","WR150","357.0"
"358","Michael Carter","ARI","8","RB105","358.0"
"359","Zay Jones","ARI","8","WR151","359.0"
"360","Van Jefferson","TEN","10","WR152","360.0"
"361","Adam Trautman","DEN","12","TE58","361.0"
"362","Tanner Hudson","CIN","10","TE59","362.0"
"363","John Metchie III","HOU","6","WR153","363.0"
"364","Justin Watson","HOU","6","WR154","364.0"
"365","Chris Brooks","GB","5","RB106","365.0"
"366","Mecole Hardman Jr.","GB","5","WR155","366.0"
"367","Gardner Minshew II","KC","10","QB47","367.0"
"368","Tyrod Taylor","NYJ","9","QB48","368.0"
"369","Mac Jones","SF","14","QB49","369.0"
"370","Ashton Dulin","IND","11","WR156","370.0"
"371","Jonathan Mingo","DAL","10","WR157","371.0"
"372","Sione Vaki","DET","8","RB107","372.0"
"373","Kaden Prather","BUF","7","WR158","373.0"
"374","Michael Strachan","WAS","12","WR159","374.0"
"375","Isaiah Bond","","","WR160","375.0"
"376","Lan Larison","NE","14","RB108","376.0"
"377","Jared Wiley","KC","10","TE60","377.0"
"378","Luke Farrell","SF","14","TE61","378.0"
"379","Joshua Simon","ATL","5","TE62","379.0"
"380","Ja'Corey Brooks","WAS","12","WR161","380.0"
"381","Sam Howell","MIN","6","QB50","381.0"
"382","Jamari Thrash","CLE","9","WR162","382.0"
"383","LeQuint Allen Jr.","JAC","8","RB109","383.0"
"384","Nick Nash","ATL","5","WR163","384.0"
""
""
